_id,overall_stats.battles
1030535358,1269
1030535486,148
1030535933,732
1030536057,325
1030536428,275
1030536797,160
1030536888,176
1030536986,211
1030537159,951
1030537214,2803
1030537378,1836
1030537580,1906
1030537592,6538
1030537942,6518
1030538284,3924
1030538664,2297
1030540349,3654
1030540993,3000
1030541191,1186
1030541433,136
1030542424,2946
1030542591,433
1030543754,205
1030543812,706
1030544120,920
1030544611,780
1030545010,190
1030545016,111
1030545041,378
1030545805,1365
1030545884,354
1030546651,1535
1030546809,740
1030546983,3283
1030547108,1710
1030547614,1560
1030547991,598
1030548142,238
1030548271,860
1030548276,612
1030548370,3940
1030548373,2221
1030548404,3017
1030550037,2668
1030550210,584
1030552175,435
1030552431,2033
1030552442,687
1030553169,2746
1030553373,302
1030553514,3424
1030553768,502
1030554303,663
1030554537,678
1030554837,1245
1030555521,235
1030555676,373
1030556022,188
1030556074,4353
1030556313,1615
1030556360,380
1030556818,445
1030557175,2276
1030557182,429
1030557348,427
1030558650,4397
1030559430,1175
1030559730,2448
1030559774,2938
1030560432,570
1030560593,906
1030560612,4320
1030560677,4740
1030560722,459
1030560769,8277
1030560779,907
1030560928,1153
1030561003,486
1030561057,261
1030561669,407
1030561761,687
1030561964,727
1030562231,1480
1030562672,1313
1030562676,105
1030562773,2402
1030563131,1846
1030563187,968
1030563601,564
1030564234,345
1030564353,1881
1030565003,1563
1030565097,362
1030565471,116
1030566048,1576
1030566693,5005
1030566723,6751
1030566727,546
1030567804,942
1030567878,2394
1030568182,2470
1030568300,2055
1030568472,6778
1030568779,300
1030568867,15104
1030569476,1859
1030569488,946
1030569853,1275
1030570349,352
1030571111,1577
1030571112,848
1030571588,2106
1030571901,4840
1030572307,1333
1030572356,764
1030572653,1260
1030572714,384
1030572723,1657
1030572725,1237
1030572769,1104
1030572959,1795
1030573357,226
1030573409,280
1030573505,10222
1030574056,516
1030574235,1152
1030575731,863
1030575792,1562
1030576235,528
1030576585,2084
1030576994,1872
1030577017,2877
1030577372,8912
1030577548,1051
1030577566,828
1030577575,386
1030577644,1076
1030577670,232
1030577917,6993
1030578480,280
1030578554,915
1030578812,5470
1030578922,472
1030578969,4194
1030579071,465
1030579298,1821
1030579618,694
1030579677,1841
1030580075,1037
1030581570,2472
1030581733,349
1030582054,1884
1030582777,2128
1030582945,226
1030583320,446
1030583340,134
1030583703,1811
1030584137,3996
1030584263,520
1030585442,134
1030585856,3280
1030585939,359
1030586763,286
1030587080,291
1030587087,507
1030587252,286
1030587751,1152
1030589344,210
1030589419,531
1030589496,273
1030591205,5212
1030591220,958
1030591255,535
1030591270,231
1030591373,7219
1030591516,3802
1030591645,1005
1030591772,164
1030591848,6646
1030592989,1532
1030593061,2619
1030593549,144
1030594303,178
1030594907,236
1030595270,458
1030595384,635
1030595581,111
1030596456,5754
1030596557,210
1030596603,663
1030596708,115
1030596754,2446
1030596901,665
1030597006,374
1030597057,2031
1030598177,1183
1030598197,1465
1030598220,1670
1030598580,3293
1030598839,2244
1030598971,1771
1030599122,351
1030599417,532
1030599807,1914
1030600003,3214
1030600098,2130
1030600785,1816
1030600873,396
1030600900,5457
1030600904,173
1030601018,430
1030601395,1708
1030601552,2301
1030601757,1350
1030601929,182
1030602042,344
1030602058,1536
1030602064,1520
1030602118,3055
1030602226,596
1030602496,2576
1030602619,410
1030602768,508
1030602885,1019
1030603029,1161
1030603241,1223
1030604289,342
1030604688,1267
1030604731,220
1030604938,309
1030604990,2089
1030605031,186
1030605643,483
1030605749,506
1030606182,2093
1030606546,3518
1030607358,2365
1030608786,1123
1030608968,978
1030609013,983
1030609282,522
1030609399,2068
1030609947,2440
1030610048,2715
1030610053,5086
1030610215,1500
1030610515,1263
1030611179,614
1030611528,2060
1030612219,517
1030612244,3090
1030613279,3727
1030613455,1325
1030615631,127
1030615754,1217
1030616358,1084
1030616370,913
1030616544,265
1030616632,317
1030616787,2062
1030617351,915
1030617866,341
1030618921,2068
1030619835,354
1030619887,5789
1030620282,721
1030620336,3474
1030621036,1065
1030621617,210
1030621723,536
1030622288,3500
1030622937,5053
1030623374,2351
1030623885,4248
1030623942,1510
1030623997,2861
1030624138,894
1030624483,1830
1030624487,6234
1030624661,2133
1030625287,2835
1030625781,1059
1030626031,325
1030626317,156
1030626396,1841
1030626775,1263
1030628014,476
1030628532,311
1030628712,992
1030629915,479
1030630053,237
1030631903,2283
1030632298,553
1030632362,250
1030632486,255
1030633418,701
1030633704,986
1030633740,923
1030633967,614
1030634719,1160
1030634955,2480
1030635255,203
1030635556,7796
1030636041,5835
1030636101,6131
1030636264,971
1030636589,428
1030637273,158
1030637817,5228
1030637936,493
1030638105,845
1030638192,1379
1030638225,1707
1030638478,1368
1030638511,477
1030638665,1198
1030638857,768
1030639125,4545
1030639259,2569
1030639437,921
1030639455,1254
1030639503,606
1030639561,423
1030639790,429
1030640190,1387
1030640244,389
1030640278,829
1030640617,1992
1030640811,299
1030641122,1141
1030641129,207
1030641516,1067
1030641774,2012
1030641985,1049
1030642671,3761
1030642678,2603
1030643434,448
1030643493,2260
1030644031,901
1030644628,367
1030644634,202
1030644673,1212
1030644845,3252
1030645004,504
1030645155,129
1030645467,320
1030645592,3746
1030645884,2709
1030646091,887
1030646131,928
1030646249,152
1030646690,577
1030647003,195
1030647206,722
1030647244,1631
1030647539,3167
1030647721,7942
1030648578,447
1030648732,3308
1030648845,258
1030649420,1162
1030649674,2620
1030649783,624
1030649849,829
1030649928,1641
1030650146,1321
1030650711,2611
1030651318,701
1030651656,383
1030651807,742
1030652841,669
1030653217,1005
1030653431,222
1030653708,877
1030654526,1268
1030654608,460
1030654865,157
1030655273,659
1030655294,2141
1030655373,4759
1030655823,1079
1030655999,643
1030656206,1910
1030656566,167
1030657067,1348
1030657251,167
1030658239,752
1030658454,630
1030658600,187
1030659385,215
1030659469,4095
1030659554,2282
1030659584,1302
1030660415,486
1030660438,442
1030660470,13982
1030660952,282
1030661266,845
1030661375,396
1030661615,527
1030661648,1262
1030661766,3848
1030661906,199
1030662225,163
1030662633,134
1030663338,3146
1030663373,3036
1030664365,1533
1030664417,582
1030664674,3190
1030664701,718
1030665920,658
1030666410,2188
1030666425,2600
1030666446,2832
1030666554,435
1030666671,168
1030666728,202
1030667010,893
1030667220,3213
1030667709,1932
1030667870,695
1030667885,211
1030667928,1376
1030669577,837
1030669596,3793
1030669623,3602
1030669885,518
1030670893,4338
1030671175,2269
1030671346,3886
1030671890,2673
1030672204,1504
1030673016,366
1030673068,4530
1030673624,420
1030673828,909
1030674420,4080
1030674435,777
1030674598,1036
1030674938,809
1030675180,587
1030675182,169
1030675427,4850
1030675452,159
1030675722,172
1030676534,106
1030676810,1607
1030676856,1120
1030677429,876
1030677544,791
1030677812,2828
1030678299,1385
1030678742,155
1030678755,2437
1030678871,4327
1030679439,384
1030679629,1663
1030680387,1540
1030680455,3374
1030681093,191
1030681889,465
1030682528,291
1030683017,1717
1030683183,178
1030683865,520
1030683960,1358
1030684099,1968
1030684516,963
1030685141,132
1030685226,682
1030685398,6192
1030685630,2347
1030685681,3028
1030686185,499
1030686201,1338
1030686291,3016
1030686620,2874
1030686624,4136
1030687424,2633
1030687840,2340
1030687873,191
1030688077,3312
1030688088,122
1030689246,795
1030689771,467
1030689929,2977
1030689990,530
1030690467,1758
1030691186,4508
1030691346,1100
1030691865,406
1030691968,145
1030692871,452
1030693178,278
1030694942,3093
1030695141,1324
1030695412,1015
1030695605,2210
1030695849,2709
1030696042,874
1030696405,831
1030696573,515
1030696863,4642
1030698095,1458
1030698275,476
1030698483,5077
1030698766,294
1030699099,1544
1030699158,1910
1030699949,1773
1030700117,4665
1030700388,776
1030700526,135
1030700673,3614
1030700807,175
1030701333,578
1030701422,443
1030701827,669
1030702218,1916
1030702337,458
1030702994,957
1030703718,2183
1030703891,989
1030703925,295
1030704514,417
1030704757,10705
1030705751,1989
1030706023,466
1030706130,5657
1030706941,2491
1030707268,4703
1030707662,193
1030708153,988
1030708315,1722
1030709210,203
1030709347,3465
1030709540,7781
1030709655,611
1030709757,3399
1030710132,1990
1030710303,112
1030710982,3413
1030710983,8436
1030711180,1530
1030711193,1357
1030711199,5157
1030711253,702
1030711257,1557
1030711268,2369
1030711273,4996
1030711767,643
1030712743,464
1030713350,525
1030713647,650
1030713969,2311
1030715453,1583
1030715482,735
1030716210,400
1030716215,193
1030717754,3160
1030717862,2487
1030718184,1826
1030718196,1600
1030718481,1585
1030718485,144
1030718661,4092
1030718747,1408
1030718751,2252
1030718926,530
1030719130,257
1030719728,270
1030720540,942
1030720546,621
1030720673,1936
1030720942,811
1030721715,165
1030722124,234
1030722426,333
1030722624,1125
1030723191,751
1030723809,120
1030723937,638
1030724066,1526
1030724293,621
1030724766,221
1030725032,1557
1030725123,5042
1030725252,5087
1030725340,361
1030725661,1953
1030726518,4858
1030727354,4511
1030727820,4976
1030727944,3765
1030728901,471
1030729152,1256
1030729170,369
1030729366,2382
1030729836,4355
1030730005,164
1030730181,1765
1030730381,381
1030730883,2058
1030730962,1068
1030731256,1404
1030731397,1384
1030731450,4889
1030731762,2078
1030732424,234
1030732583,4536
1030732903,522
1030733102,182
1030733225,557
1030733903,564
1030734294,7347
1030734323,529
1030734399,4905
1030734484,3794
1030734705,502
1030735054,281
1030735307,2679
1030735406,5756
1030736723,926
1030737136,999
1030737338,402
1030737821,160
1030738111,1011
1030738550,307
1030738828,143
1030738863,1569
1030738882,862
1030738905,1924
1030739026,663
1030739340,419
1030739735,367
1030739945,2185
1030740001,848
1030741221,929
1030741277,188
1030741480,433
1030741507,1111
1030741620,3036
1030741894,255
1030742192,1743
1030742821,7625
1030743408,5034
1030743777,831
1030744016,570
1030744334,612
1030744750,1856
1030745007,130
1030745261,5754
1030745398,2619
1030745553,553
1030745702,983
1030745800,186
1030745908,1455
1030746105,1388
1030746472,3613
1030747044,2632
1030747062,199
1030747990,193
1030748196,911
1030748415,1169
1030748539,549
1030749497,2183
1030750074,2049
1030750468,244
1030750516,3316
1030750809,9257
1030750951,894
1030751060,4420
1030751198,602
1030751504,3238
1030751700,3554
1030751825,8445
1030753940,298
1030754290,592
1030754327,849
1030754436,8033
1030754656,755
1030754804,1017
1030755194,996
1030755227,2445
1030755253,1945
1030756263,361
1030756480,1367
1030756600,536
1030756786,448
1030756821,444
1030756845,104
1030757130,1156
1030757245,2346
1030757405,3363
1030757822,527
1030758294,3735
1030758314,310
1030758503,752
1030758694,1112
