_id,overall_stats.avg_battle_values.avg_spot
1000113111,1.17
1000113510,1.07
1000113552,1.04
1000113563,1.9
1000113566,1.2
1000113614,0.56
1000113617,1.16
1000113946,0.38
1000113974,6.62
1000114066,1.45
1000114165,1.61
1000114250,0.83
1000114566,1.17
1000114575,1.88
1000114733,1.09
1000114917,0.76
1000115183,0
1000115477,1.33
1000115560,2.17
1000115573,1.13
1000115699,0.64
1000115768,0.69
1000115837,1.05
1000115861,0.71
1000115896,0.53
1000115902,3.66
1000116057,1.07
1000116503,0.5
1000116560,1.61
1000116599,1.75
1000116619,0.45
1000116674,1.4
1000116675,0.88
1000116713,0.57
1000116835,0.89
1000116993,1.21
1000117192,0.94
1000117200,1.15
1000117287,1.78
1000117297,0.77
1000117360,1.34
1000117636,1.33
1000117942,0.51
1000118051,0.4
1000118098,1.07
1000118175,1.12
1000118193,2.65
1000118198,1.41
1000118322,0.5
1000118417,0.19
1000118433,0.17
1000118447,2.63
1000118558,0.55
1000118682,0.2
1000118742,0.3
1000119042,0.99
1000119069,0.29
1000119085,0.99
1000119103,1.28
1000119105,1.41
1000119131,1.14
1000119160,1.73
1000119204,1.31
